Question #,Section,Type,Priority,Question,Source Reference,Justification
Q25,Staffing & Resource Model,NEW: Technical,Must-Ask,"The Specific Requirements specify after-hours monitoring (10pm-7am PT) for data pipelines (Rivery, SplashBI, Tableau) and 24x7 support for NexSTAR. Can MGRC clarify: (a) is after-hours coverage required 7 days/week including weekends/holidays or business days only, (b) what is the historical frequency of incidents requiring intervention during these windows, and (c) is the expectation for active monitoring (dedicated overnight shift) or on-call response?",specific_requirements.csv rows 142-145 and 77-90,Dedicated overnight shift (7x9 hours) = 1.5-2 FTE. On-call rotation = 0.25-0.5 FTE. Major pricing difference.
Q26,Staffing & Resource Model,NEW: Technical,Must-Ask,"For Oracle Fusion period-close activities for GL AP AR Inventory Costing and related modules (row 34 Shared), what is the expected MSP role? Specifically: (a) is MSP responsible for executing close processes (running jobs journal validation reconciliation) or providing on-call support, (b) what is the close timeline (e.g., 5-day window), and (c) are after-hours or weekend close activities expected?",specific_requirements.csv row 34,Close execution requires dedicated resources with deep GL/subledger knowledge. Support is much lower effort than execute.
Q27,Technology & Environment,ORIGINAL,Standard,What is the expected timeline for migration from FreshService to ServiceNow (or similar)? Will the MSP be expected to support both platforms during transition and is the MSP expected to play a role in the ServiceNow implementation itself?,v02 Q22,Dual-platform support and migration involvement = different scope.
Q28,Technology & Environment,ORIGINAL,Must-Ask,"For NexSTAR (custom application), can MGRC provide documentation on the technology stack, codebase language/framework, architecture diagrams, known technical debt, and deployment pipeline? Will the MSP have full source code and development environment access?",v02 Q23,Custom apps are highest risk. 24x7 requirement makes this critical.
Q29,Technology & Environment,ORIGINAL,Standard,For the Customer Hub (nopCommerce) can MGRC clarify the PCI compliance scope and whether the MSP is expected to maintain PCI certification or support MGRC's existing audit process?,v02 Q24,PCI accountability significantly affects security costs and insurance.
Q30,Technology & Environment,ORIGINAL,Standard,Are there existing ITSM workflows automations or custom configurations in FreshService that must be migrated to ServiceNow? What is the expected level of MSP involvement in the migration project?,v02 Q25,Migration complexity affects Phase 1 scope.
Q31,Technology & Environment,ORIGINAL,Standard,What is the current state of test automation for regression smoke and integration testing? Would MGRC be interested in the MSP introducing automation capabilities as part of the engagement?,v02 Q26,Probes automation appetite.
Q32,Technology & Environment,ORIGINAL,Standard,Does MGRC have existing SIEM/SOC capabilities or will the MSP be expected to provide security monitoring and incident response?,v02 Q27,Security ops distinct from compliance — could be large hidden scope.
Q33,Technology & Environment,ORIGINAL,Standard,"For critical systems like Oracle Fusion NexSTAR and Customer Hub — what are the recovery targets if there's an outage? How often are disaster recovery tests conducted, and will the MSP be expected to plan and run those drills?",v02 Q28,DR testing effort ranges widely.
Q34,Technology & Environment,NEW: Technical,Must-Ask,"RecVue sits between Salesforce and Oracle ERP as a critical billing hub (per the architecture diagram). Can MGRC provide: (a) monthly billing cycle volume (number of invoices generated), (b) typical exception rate requiring manual intervention, (c) complexity of revenue recognition rules (standard vs. custom), and (d) current FTE hours dedicated to billing cycle execution and exception handling?",architecture.md + specific_requirements.csv row 17,Row 17 marks RecVue Day-to-Day Operations as MSP Owned - understanding volume drives staffing for dedicated billing analyst.
Q35,Technology & Environment,NEW: Technical,High,Row 28 marks RecVue Disaster Recovery as MSP Owned. Is RecVue hosted on-premises in MGRC's cloud tenancy or in RecVue's SaaS environment? If SaaS what is the MSP's DR responsibility (application config backup vs. infrastructure DR)?,specific_requirements.csv row 28,SaaS = vendor-managed DR. Self-hosted = MSP infrastructure responsibility. Major scope difference.
Q36,Technology & Environment,NEW: Technical,High,"For Customer Hub (nopCommerce), the Specific Requirements reference PCI-scoped platform with MSP responsible for security hardening vulnerability scanning patching. Can MGRC clarify: (a) does Customer Hub process and store credit card data directly or does it redirect to a third-party payment processor, (b) what tokenization/encryption controls are in place, and (c) what is the expected vulnerability scanning cadence (quarterly external annual internal per PCI DSS)?",specific_requirements.csv rows 161-172,Cardholder data in scope = SAQ-D compliance. Payment processor redirect = SAQ-A. Massive difference in PCI audit effort.
Q37,Technology & Environment,NEW: Architecture,High,"The architecture diagram shows a Material Voucher (Java Application) connected to Oracle SCM Inventory. Can MGRC clarify: (a) where is this application hosted (on-premises OCI Azure), (b) who owns the source code and documentation, (c) is the MSP expected to support application code or only the integration to Oracle, and (d) is this application in scope for MSP support or retained by MGRC?",architecture.md,Custom Java app is unknown quantity. If in scope need Java developers. If out of scope need clear boundary.
Q38,Technology & Environment,NEW: Architecture,High,The architecture shows three CRM-related systems: Salesforce (primary) Oracle CRM on Demand and Nextstar. Are Oracle CRM on Demand and Nextstar being retired as part of the Salesforce consolidation or will the MSP need to support all three platforms? If being retired what is the timeline?,architecture.md,Three CRM platforms = 3x support complexity. Retirement timeline affects staffing model.
Q39,SLA & KPI,NEW: SLA/KPI,High,"The SLA document defines response time targets (15 min for P1 60-120 min for P2 etc.) but also references timeline for the solution and fixes. Can MGRC clarify: (a) are there defined resolution time SLAs in addition to response time SLAs, (b) if yes what are the target resolution times for each priority level, and (c) are response and resolution measured separately in the SLO calculations?",sla.csv,Response time is achievable with process. Resolution time depends on issue complexity and may not be controllable.
Q40,SLA & KPI,NEW: SLA/KPI,Standard,For P2 (High) priority incidents the SLA states 60-120 minutes response time. For SLA compliance measurement is the target 60 minutes (aspirational) or 120 minutes (acceptable)? Will a response at 90 minutes count as SLA-compliant?,sla.csv,2x difference affects staffing and escalation procedures.
Q41,SLA & KPI,NEW: SLA/KPI,Standard,Who has authority to assign priority levels (P1-P4) to incoming tickets? Does MGRC's reporting user assign priority or does the MSP assess and classify? If the MSP classifies what is the appeal process if MGRC disagrees with the assignment?,sla.csv,Prevents SLA disputes over priority classification after incidents.
Q42,SLA & KPI,NEW: SLA/KPI,Standard,"The SLA document doesn't specify exclusion windows. Can MGRC clarify: (a) are P1/P2 response SLAs expected 24/7/365 or only during business hours, (b) are there exclusion windows for scheduled maintenance, (c) are SLAs suspended during force majeure events, and (d) what is the documentation process for exclusions?",sla.csv,Defines realistic on-call staffing and protects against penalization for circumstances outside MSP control.
Q43,SLA & KPI,NEW: SLA/KPI,Must-Ask,"What are the consequences when monthly/quarterly SLA compliance falls below the defined objectives (95% for P1 90% for P2-P4)? Specifically: (a) are there service credits or penalty clauses, (b) what is the remediation process if SLA compliance drops below minimum thresholds, and (c) is there a grace period during the first 90 days of engagement?",sla.csv,Determines financial risk exposure. Grace period allows baseline establishment before penalties.
Q44,SLA & KPI,NEW: SLA/KPI,Standard,"Should KPIs be measured and reported: (a) globally across all MGRC systems, (b) per business unit/division (modular test equipment containment HVAC), (c) per system/application, or (d) hybrid approach with global rollups and system-specific breakdowns?",kpi.csv,Affects ticketing system configuration and reporting infrastructure.
Q45,SLA & KPI,NEW: SLA/KPI,High,To set realistic targets can MGRC provide historical performance data for the past 6-12 months including: Average Resolution Time First Contact Resolution Rate MTTR and SLA Compliance Rate? Are there known seasonal variations (higher volumes during tax season quarter-end)?,kpi.csv,Prevents committing to unachievable targets without understanding current state.
Q46,SLA & KPI,NEW: SLA/KPI,Standard,"Regarding measurement tooling: (a) does MGRC provide the ticketing system or should the MSP propose one, (b) who provides infrastructure monitoring and alerting tools, (c) will the MSP have API/database access to pull raw data for independent SLA validation, and (d) is there a neutral third-party system that timestamps ticket events to prevent disputes?",kpi.csv,Determines infrastructure costs and data integrity for SLA verification.
Q47,Compliance & Audit,ORIGINAL,Standard,Can MGRC provide a calendar of compliance audits scheduled for the next 12 months and clarify which audits the MSP will be expected to support lead evidence gathering for or remediate findings from?,v02 Q29,8 compliance frameworks listed. Unknown effort implications.
Q48,Compliance & Audit,NEW: Technical,High,"The General Requirements reference multiple compliance frameworks (NIST SOC2 HIPAA PCI GDPR CMMC). Can MGRC clarify which frameworks are: (a) mandatory/certified today, (b) in active pursuit, and (c) aspirational/future? Specifically does MGRC process HIPAA-protected health information and does MGRC have or require CMMC certification?",general_requirements.csv section 11,HIPAA/CMMC have major staffing and process implications. Need to know if these are active requirements or future considerations.
Q49,Commercial & Contractual,ORIGINAL,Standard,Does MGRC have a target budget range or not-to-exceed threshold for the MSP engagement that vendors should be aware of when structuring proposals?,v02 Q30,Rarely answered directly but worth asking.
Q50,Commercial & Contractual,ORIGINAL,Standard,Is MGRC open to pricing models that combine fixed operational support with variable capacity for enhancement and project work?,v02 Q31,Gets intel on commercial flexibility.
Q51,Commercial & Contractual,ORIGINAL,Standard,For multi-year pricing does MGRC expect flat pricing across Years 1-3 or is there flexibility in how pricing is structured year-over-year?,v02 Q32,Gets intel without describing our exact strategy.
Q52,Commercial & Contractual,ORIGINAL,Standard,For items designated as Shared Responsibility will the RACI and responsibility splits be finalized before contract execution or will they be defined during the Phase 1 onboarding period? How will scope disputes in shared areas be resolved?,v02 Q33,Most of RFP is Shared Responsibility. Protects against undefined scope.
Q53,Commercial & Contractual,ORIGINAL,Standard,"For scope changes identified after contract execution (e.g., new integrations acquisitions system upgrades), what is MGRC's change request and approval process? Will these be priced separately or absorbed into the base contract?",v02 Q34,Protects against post-contract scope creep.
Q54,Commercial & Contractual,ORIGINAL,Standard,Are there pending or planned acquisitions that would affect MSP scope within the first 12 months? If so how many and what is their general scope?,v02 Q35,M&A onboarding listed as service domain.
Q55,Commercial & Contractual,ORIGINAL,Standard,How have M&A integrations historically been handled from a support perspective?,v02 Q36,Understanding past approach helps plan for future.
Q56,Shared Responsibility,NEW: Technical,Must-Ask,"The Specific Requirements show most categories as Shared=Yes between MSP and MGRC. Can MGRC provide: (a) a definition of what Shared means operationally (e.g., who initiates who executes who approves), (b) examples of how shared work would be divided in practice, and (c) the decision-making authority and escalation path for shared activities?",specific_requirements.csv (150+ rows),150+ of 183 requirements are Shared. Without clear RACI scope disputes are inevitable.
Q57,Shared Responsibility,NEW: Technical,High,"For Development Enhancement & Optimization categories marked Shared (Salesforce row 12 Oracle Fusion row 43 etc.), what is the expected split between MSP-led development and MGRC-led development? Specifically will MSP be responsible for custom code (Apex Java PL/SQL) or limited to declarative configuration (flows validation rules Fast Formulas)?",specific_requirements.csv rows 12 and 43,Senior developers cost 40-60% more than administrators. Custom code vs. configuration is major pricing distinction.
Q58,Shared Responsibility,NEW: Technical,Standard,"For Integration Platform Development Enhancement & Optimization (OIC row 101 MuleSoft row 113), what is the expected balance between: (a) maintaining existing integrations, (b) modifying integrations for business changes, and (c) developing net-new integrations? Is there an existing backlog of integration development requests?",specific_requirements.csv rows 101 and 113,Row 113 (MuleSoft) is marked MSP Augmented suggesting MGRC has internal developers. Need clarity on staffing model.
Q59,Shared Responsibility,NEW: Technical,Standard,"Row 34 (Oracle Fusion Operational Day-to-Day) references Documentation: BRDs FSDs test scripts SOPs and knowledge articles. What is the expected volume of enhancements requiring formal BRDs/FSDs, and who is responsible for initial requirements gathering and business analysis?",specific_requirements.csv row 34,Creating BRDs/FSDs is business analyst work not functional support. Significantly different skill level and cost.
Q60,Shared Responsibility,NEW: Technical,Standard,"For Security & Compliance requirements marked Shared across multiple solutions, what is the expected frequency of segregation-of-duties reviews? Does MGRC use SoD tooling (Appsian Soterion Oracle AACG) or are reviews performed manually? How many user accounts and roles are in scope?",specific_requirements.csv security rows,Manual SoD reviews in large Oracle/Salesforce environments can consume 40-80 hours per quarter. Tooling reduces effort significantly.
