Section,Number,Requirement,Type,MSP Response
Technical Services,9.1,"On request, how does MSP design, build, deploy, and support application customizations and extensions across Oracle (Visual Builder, Redwood UI, APEX, OIC), Salesforce (Apex, Lightning, Flow), and related platforms.",Requirement,
Technical Services,9.2,"On request, how does MSP design, deploy, and maintain reporting and analytics solutions, including Oracle BIP and OTBI, Salesforce reports and dashboards, and advanced analytics where applicable.",Requirement,
Technical Services,9.3,"How does MSP perform data migration and data conversion activities, including ETL processes, data cleansing, validation, reconciliation, and post‑migration support across Oracle, Salesforce, and integrated systems.",Requirement,
Technical Services,9.4,"Describe how MSP provides integration support for complex, multi‑system environments, including REST/SOAP APIs, middleware, ERP adapters, and third‑party systems such as Salesforce CPQ, Zilliant Pricing, DocuSign, D&B, and Oracle Fusion ERP—especially when integrations are owned or managed by different internal teams or vendors.",Requirement,
Technical Services,9.5,"Describe how MSP provides ongoing application and UI maintenance, including updates to layouts, fields, labels, copy, and visual elements; testing legacy code against browser and platform updates; supporting Salesforce seasonal releases; and ensuring consistent user experience across integrated applications.",Requirement,
,10,Application Administration,Section Header,
Application Administration,10.1,"Discuss your User & Role management: Support security roles, data access and segregation of duties activities and architecture. Configure identity and access management roles, manage user access/revocation, conduct periodic security roles.",Requirement,
Application Administration,10.2,Discuss your Configuration management: Perform and maintain functional setups across supported modules and systems.,Requirement,
Application Administration,10.3,"Provide details on how you perform patch and update management: Handle zero-day, critical and quarterly updates, perform regression testing, prepare and execute (as needed) rollback plans.",Requirement,
Application Administration,10.4,Provide details on how you perform periodic licensing review for optimization include role reviews to optimize overall licensing spend for Client.,Requirement,
,11,Compliance and Security,Section Header,
Compliance and Security,11.1,"Discuss how you comply with all applicable legal, regulatory, and contractual cybersecurity obligations, including but not limited to: • NIST, SOC2 Type 2, HIPAA, PCI, GDPR, CMMC frameworks • McGrath RentCorp’s IT Security Compliance Policy Manual",Requirement,
Compliance and Security,11.2,"How will you implement and maintain robust cybersecurity strategies, policies, procedures, and controls to ensure protection of confidentiality, integrity, and availability of MGRC data?",Requirement,
Compliance and Security,11.3,"How do you conduct threat monitoring, pen testing, analysis, and incident responses and remediate findings?",Requirement,
Compliance and Security,11.4,How do you implement endpoint security solutions and respond to security incidents?,Requirement,
Compliance and Security,11.5,"How do you provide documented security response plans, methodology, and strategy?",Requirement,
Compliance and Security,11.6,How do you manage firewall configurations and security policies?,Requirement,
Compliance and Security,11.7,How do you conduct internal audits for security programs on demand?,Requirement,
Compliance and Security,11.8,Can you support McGrath's internal and external audit documentation of evidence requests in a timely manner?,Requirement,
Compliance and Security,11.9,How do you maintain change logs and audit trails for all updates and patches?,Requirement,
,12,Governance and Documentation,Section Header,
Governance and Documentation,12.1,"Discuss how you maintain current documentation of configurations, integrations, processes, procedures, development, etc. and publish regularly.",Requirement,
Governance and Documentation,12.2,Provide details on how you prepare for and conduct knowledge transfer to Client and/or designated third parties as needed.,Requirement,
,13,Backup and Disaster Recovery,Section Header,
Backup and Disaster Recovery,13.1,"Design methodology and gain approval for, or review and offer feedback on existing methodology, to perform automated data backups to protect critical business information.",Requirement,
Backup and Disaster Recovery,13.2,How often do you conduct disaster recovery and business continuity (DRBC) testing?,Requirement,
Backup and Disaster Recovery,13.3,Develop and test disaster recovery plans for business continuity.,Requirement,
Backup and Disaster Recovery,13.4,Provide recovery support in case of system failure of data loss.,Requirement,
Backup and Disaster Recovery,13.5,"When needed, implement disaster recovery solutions and conduct periodic tests.",Requirement,
,14,Continuous Improvement,Section Header,
Continuous Improvement,14.1,Provide details on how you participate in Quality Assurance Validation for all new system updates.,Requirement,
Continuous Improvement,14.2,"If applicable, provide details on how you App Dev Support (stored procedure development).",Requirement,
Continuous Improvement,14.3,"If applicavle, provide details on how you support Script/code development.",Requirement,
Continuous Improvement,14.4,Provide details on how you support automation.,Requirement,
Continuous Improvement,14.5,Provide details on how you support holistic Performance Program plan and execution.,Requirement,
Continuous Improvement,14.6,Provide details on how you support capacity planning.,Requirement,
Continuous Improvement,14.7,"How will you support upgrades, performance tuning, stored procedure rewrites, security reviews, database design, migrations, readiness assessments, cost optimizations, etc.",Requirement,
Continuous Improvement,14.8,"Provide fluid use of resources to support McGrath's continuous improvement efforts as part of an agile sprint methodology to support releases, defects, fixes, and transformation efforts.",Requirement,
Continuous Improvement,14.9,"Provide details on how you support quarterly or periodic release management: Coordinate update schedules, perform sandbox testing, execute regression testing for mandatory quarterly updates.",Requirement,
,15,Project Management,Section Header,
Project Management,15.1,"Manage project engagements, maintain and keep project documentation up to date and to meet agreed upon project deliverables.",Requirement,
Project Management,15.2,"Review and approve key project documentation, including Functional and Technical specification documents, to confirm alignment with business and technical requirements.",Requirement,
